# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.8.0

ammo::python::b7d366b4-3133-4e93-9135-095f3470b260, long, 0000000000000005
arg2.b7d366b4-3133-4e93-9135-095f3470b260, long, 0000000000000003
armor.b7d366b4-3133-4e93-9135-095f3470b260, long, 0000000000000000
game::b7d366b4-3133-4e93-9135-095f3470b260, string, 80054475656C73
motd, string, 802DC2A763C2A76C28212920456767536965676520697320756E646572676F696E67206D61696E74656E616E636521
result, string, 8005756E736574
s.b7d366b4-3133-4e93-9135-095f3470b260, block, 8405776F726C6480FF0000000181046E616D652080064576656E7473017803000000070179030000003D017A0300000000
shootout::duels::kits::b7d366b4-3133-4e93-9135-095f3470b260, string, 8006706973746F6C
shootout::duels::players, long, 0000000000000000
shootout::kit::b7d366b4-3133-4e93-9135-095f3470b260, string, 80057269666C65
sign.b7d366b4-3133-4e93-9135-095f3470b260, block, 8405776F726C6480FF0000000181046E616D652080064576656E7473017803000000070179030000003D017A0300000000
skywars::marblemayhem::maxplayers, long, 0000000000000008
skywars::marblemayhem::players, long, 0000000000000000
skywars::marblemayhem::status, string, 800757616974696E67
undo.b7d366b4-3133-4e93-9135-095f3470b260, string, 800D73656C6563742061206B697421
undol.b7d366b4-3133-4e93-9135-095f3470b260, long, 0000000000000003
undos.b7d366b4-3133-4e93-9135-095f3470b260, block, 8405776F726C6480FF0000000181046E616D652080064576656E7473017803000000070179030000003D017A0300000000

